어린이집명,시도명,시군구명,어린이집유형구분,정원수,보육교직원수,소재지도로명주소,어린이집전화번호,어린이집팩스번호,보육실수,놀이터수,CCTV설치수,통학차량운영여부,홈페이지주소,데이터기준일자
민들레어린이집,전라남도,전라남도,여수시,41,10,"전라남도 여수시 웅천중앙로 33 (웅천동, 웅천지웰2차)",061-681-3332,061-681-0332,5,0,7,운영(신고),http://info.childcare.go.kr,2020-06-30
배울학어린이집,전라남도,전라남도,여수시,102,22,전라남도 여수시 여서동4길 6 (여서동),061-652-0001,061-652-3139,8,1,11,운영(신고),카페다음,2020-06-30
베타니아특수어린이집,전라남도,전라남도,여수시,150,44,전라남도 여수시 문수7길 26-12,061-652-0791,061-652-0983,10,1,13,운영(신고),www.bethany.or.kr,2020-06-30
보배어린이집,전라남도,전라남도,여수시,82,15,전라남도 여수시 심곡길 7 (안산동),061-682-3235,061-682-3574,7,1,8,운영(신고),http://info.childcare.go.kr,2020-06-30
봉계어린이집,전라남도,전라남도,여수시,20,8,"전라남도 여수시 좌수영로 682-34 101동 105호(봉계동,로얄골드빌)",061-692-1588,,3,3,4,미운영,http://info.childcare.go.kr,2020-06-30
사과나무어린이집,전라남도,전라남도,여수시,153,29,전라남도 여수시 허문정1길 39 (문수동),061-653-8312,061-653-8315,13,2,15,운영(신고),http://info.childcare.go.kr,2020-06-30
사랑가득어린이집,전라남도,전라남도,여수시,20,6,"전라남도 여수시 도원로 204 501동 103호(안산동, 부영5차아파트)",061-683-4798,061-683-4798,4,0,5,운영(신고),http://info.childcare.go.kr,2020-06-30
산들어린이집,전라남도,전라남도,여수시,28,9,"전라남도 여수시 박람회길 81 덕충동, 엑스포힐스테이트",061-653-3939,061-653-3939,4,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
삼산어린이집,전라남도,전라남도,여수시,15,4,전라남도 여수시 삼산면 덕흥1길 29,061-666-3577,061-666-3578,2,0,3,운영(신고),http://info.childcare.go.kr,2020-06-30
새빛어린이집,전라남도,전라남도,여수시,66,8,전라남도 여수시 신기북3길 6 (신기동),061-684-2171,061-682-2171,6,2,8,운영(신고),http://info.childcare.go.kr,2020-06-30
샘터특수어린이집,전라남도,전라남도,여수시,75,14,전라남도 여수시 대교로 61 (봉산동),061-642-0080,061-642-0204,7,1,7,운영(신고),www.ysem.or.kr,2020-06-30
샬롬어린이집,전라남도,전라남도,여수시,119,19,전라남도 여수시 만성로 337 (만흥동),061-654-2888,061-654-2999,7,1,14,운영(신고),http://info.childcare.go.kr,2020-06-30
서희어린이집,전라남도,전라남도,여수시,57,11,전라남도 여수시 신월로 655 서희어린이집,061-644-4111,061-644-4166,5,1,8,운영(신고),http://info.childcare.go.kr,2020-06-30
석창어린이집,전라남도,전라남도,여수시,164,17,전라남도 여수시 봉계4길 16-2 (봉계동),061-682-4293,061-682-4293,11,2,13,운영(신고),http://info.childcare.go.kr,2020-06-30
소라어린이집,전라남도,전라남도,여수시,193,29,전라남도 여수시 소라면 조산로 286,061-685-9114,061-683-9115,12,1,20,운영(신고),http://info.childcare.go.kr,2020-06-30
수정어린이집,전라남도,전라남도,여수시,73,11,전라남도 여수시 수정2길 11 (수정동),061-662-8140,061-662-8141,4,1,6,운영(신고),http://info.childcare.go.kr,2020-06-30
숲속어린이집,전라남도,전라남도,여수시,91,10,전라남도 여수시 만성로 158 (미평동),061-652-3125,061-652-7193,7,1,12,운영(신고),여수숲속어린이집(네이버검색창),2020-06-30
시전사임당어린이집,전라남도,전라남도,여수시,20,7,"전라남도 여수시 여천체육공원길 23 102동 106호(시전동, 우미)",061-682-1554,061-682-1554,3,0,4,미운영,www.aga24.co.kr,2020-06-30
시티어린이집,전라남도,전라남도,여수시,49,8,"전라남도 여수시 덕충안길 84 204동 1층(덕충동,시티프라디움2단지)",061-666-9123,,5,0,9,운영(신고),http://info.childcare.go.kr,2020-06-30
쌍봉어린이집,전라남도,전라남도,여수시,99,21,전라남도 여수시 안산1길 181 (안산동),061-681-3546,061-686-3547,6,1,12,운영(신고),http://info.childcare.go.kr,2020-06-30
아가방어린이집,전라남도,전라남도,여수시,51,16,전라남도 여수시 장군산길 63 (오림동),061-655-0056,061-655-0057,9,1,11,운영(신고),http://info.childcare.go.kr,2020-06-30
아기별어린이집,전라남도,전라남도,여수시,20,6,"전라남도 여수시 쌍봉로 32 108동 103호(학동, 신동아파밀리에)",061-691-8774,061-684-4658,4,0,6,운영(신고),http://info.childcare.go.kr,2020-06-30
아리키즈어린이집,전라남도,전라남도,여수시,17,6,전라남도 여수시 종고산길 25 (덕충동),061-662-6119,061-662-6119,3,1,4,운영(신고),http://info.childcare.go.kr,2020-06-30
아이들어린이집,전라남도,전라남도,여수시,20,6,전라남도 여수시 대치3길 17-5,061-654-4343,061-654-4343,3,0,5,운영(신고),http://info.childcare.go.kr,2020-06-30
아이사랑어린이집,전라남도,전라남도,여수시,38,9,전라남도 여수시 소라면 덕양로 414,061-684-7942,061-684-7942,4,1,8,운영(신고),http://info.childcare.go.kr,2020-06-30
아이솔어린이집,전라남도,전라남도,여수시,39,7,전라남도 여수시 안산3길 18 (안산동),061-691-0826,061-691-0826,8,0,8,운영(신고),http://info.childcare.go.kr,2020-06-30
아해뜰어린이집,전라남도,전라남도,여수시,33,8,전라남도 여수시 쌍봉로 171-11,061-681-3301,061-681-3301,5,0,7,운영(신고),http://info.childcare.go.kr,2020-06-30
안데르센어린이집,전라남도,전라남도,여수시,132,22,전라남도 여수시 여문2로 53-4,061-654-6900,061-654-1544,9,1,12,운영(신고),andersenkids.org,2020-06-30
안산어린이집,전라남도,전라남도,여수시,49,10,전라남도 여수시 장성3길 30,061-691-1369,,6,0,6,운영(신고),http://info.childcare.go.kr,2020-06-30
양우내안애어린이집,전라남도,전라남도,여수시,39,11,전라남도 여수시 소라면 도원로 80 (죽림 양우내안애),061-692-5533,,6,0,7,운영(신고),http://info.childcare.go.kr,2020-06-30
에덴어린이집,전라남도,전라남도,여수시,99,10,전라남도 여수시 소호4길 13-12 에덴어린이집,061-684-3785,061-686-3414,7,1,8,운영(신고),http://info.childcare.go.kr,2020-06-30
여서어린이집,전라남도,전라남도,여수시,99,14,전라남도 여수시 대치1길 26-3,061-651-0664,061-652-7155,7,4,9,운영(신고),http://info.childcare.go.kr,2020-06-30
여수사임당어린이집,전라남도,전라남도,여수시,20,5,전라남도 여수시 관문서2길 9-1,061-662-6620,061-665-6620,4,0,5,운영(신고),http://info.childcare.go.kr,2020-06-30
여수시청직장어린이집,전라남도,전라남도,여수시,170,46,"전라남도 여수시 시청동1길 30 (학동, 여수시청직장어린이집)",061-685-1223,061-685-1224,14,1,33,미운영,www.puruni.com/yeosu,2020-06-30
여수웅천1차부영사랑으로어린이집,전라남도,전라남도,여수시,39,10,"전라남도 여수시 웅천로 189 웅천동, 여수웅천 부영1차아파트",061-683-0555,,5,0,6,운영(신고),http://info.childcare.go.kr,2020-06-30
여수웅천2차부영사랑으로어린이집,전라남도,전라남도,여수시,46,12,"전라남도 여수시 웅천로 261 웅천동, 여수웅천 부영2차아파트",061-692-3133,061-691-3134,5,0,6,운영(신고),http://info.childcare.go.kr,2020-06-30
여수웅천3차부영사랑으로어린이집,전라남도,전라남도,여수시,44,13,전라남도 여수시 웅천로 291 웅천 부영3차,061-686-1215,061-686-1215,5,0,6,운영(신고),http://info.childcare.go.kr,2020-06-30
여수죽림1차부영사랑으로어린이집,전라남도,전라남도,여수시,42,9,전라남도 여수시 소라면 죽림로 10 (죽림부영1단지내 보육시설),061-691-5197,061-691-5197,6,0,6,운영(신고),http://info.childcare.go.kr,2020-06-30
여수죽림2차부영사랑으로어린이집,전라남도,전라남도,여수시,40,13,전라남도 여수시 소라면 덕양로 114 (죽림부영2차내),061-681-0029,061-681-0028,4,0,6,운영(신고),http://info.childcare.go.kr,2020-06-30
여천어린이집,전라남도,전라남도,여수시,125,21,전라남도 여수시 무선1길 8 (선원동),061-686-7025,061-686-6291,9,1,20,운영(신고),http://info.childcare.go.kr,2020-06-30
여천제일어린이집,전라남도,전라남도,여수시,60,8,전라남도 여수시 학동서4길 58-20,061-681-7170,061-683-0067,5,2,6,운영(신고),http://info.childcare.go.kr,2020-06-30
연꽃어린이집,전라남도,전라남도,여수시,105,21,전라남도 여수시 소호4길 13-9,061-684-6928,061-684-4443,9,1,16,운영(신고),http://WWW.ylotus.kid.ph,2020-06-30
연등어린이집,전라남도,전라남도,여수시,65,13,전라남도 여수시 연등6길 54 (연등동),061-642-8676,061-642-8675,6,2,13,운영(신고),http://info.childcare.go.kr,2020-06-30
예솜어린이집,전라남도,전라남도,여수시,20,6,"전라남도 여수시 봉계대곡길 50 106동 104호(봉계동,아주타운)",061-685-4003,062-443-0854,3,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
예울어린이집,전라남도,전라남도,여수시,40,9,전라남도 여수시 예울마루로 30 107동 1층,061-691-4489,691-691-4489,7,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
오뚜기어린이집,전라남도,전라남도,여수시,20,5,전라남도 여수시 여서동6길 8 (여서동),061-651-4595,061-651-4595,3,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
우리아이어린이집,전라남도,전라남도,여수시,20,3,"전라남도 여수시 도원로 204 503동 108호(안산동, 부영5차아파트)",061-684-2503,061-684-2503,3,0,10,운영(신고),http://info.childcare.go.kr,2020-06-30
우주어린이집,전라남도,전라남도,여수시,105,18,전라남도 여수시 허문정2길 19 (문수동),061-652-1991,061-652-1991,9,2,24,운영(신고),http://info.childcare.go.kr,2020-06-30
웅천어린이집,전라남도,전라남도,여수시,90,17,전라남도 여수시 웅천중앙로 54,061-691-1232,061-691-1203,7,2,8,미운영,http://info.childcare.go.kr,2020-06-30
은현어린이집,전라남도,전라남도,여수시,47,7,전라남도 여수시 여서2로 47 은현어린이집,061-653-6267,061-653-6266,4,1,12,운영(신고),http://cafe.daum.net.eunhyn,2020-06-30
이화어린이집,전라남도,전라남도,여수시,55,18,전라남도 여수시 장성2길 19 (안산동),061-686-6363,061-686-6364,9,1,6,운영(신고),http://info.childcare.go.kr,2020-06-30
장천어린이집,전라남도,전라남도,여수시,51,9,전라남도 여수시 율촌면 동산개길 42,061-683-7042,061-683-7042,5,1,8,운영(신고),http://info.childcare.go.kr,2020-06-30
좋은어린이집,전라남도,전라남도,여수시,39,8,전라남도 여수시 국동13길 85 (국동),061-641-7473,061-642-7473,6,1,8,운영(신고),http://info.childcare.go.kr,2020-06-30
주사랑어린이집,전라남도,전라남도,여수시,73,8,전라남도 여수시 고소3길 114 (고소동),061-662-6407,061-662-6407,5,1,8,운영(신고),http://cafe.daum.net/ysjusarang,2020-06-30
죽림1단지어린이집,전라남도,전라남도,여수시,39,11,전라남도 여수시 덕양로 97-9 죽림휴먼시아 1단지내 죽림1단지어린이집,061-692-1121,061-692-1128,4,1,10,미운영,http://info.childcare.go.kr,2020-06-30
죽림2단지어린이집,전라남도,전라남도,여수시,39,10,전라남도 여수시 죽림로 38 죽림휴먼시아2단지내 죽림2단지어린이집,061-691-1123,061-691-1120,4,1,9,미운영,http://info.childcare.go.kr,2020-06-30
중앙어린이집,전라남도,전라남도,여수시,119,15,전라남도 여수시 성산4길 9-6 (화장동),061-691-2244,061-691-2225,8,1,12,운영(신고),http://info.childcare.go.kr,2020-06-30
중흥보듬이나눔이어린이집,전라남도,전라남도,여수시,99,17,전라남도 여수시 소라면 죽림3길 10 중흥보듬이나눔이어린이집,061-685-5670,061-685-5671,7,1,4,운영(신고),http://info.childcare.go.kr,2020-06-30
즐거운어린이집,전라남도,전라남도,여수시,20,5,"전라남도 여수시 문수북5길 16 201동 107호(문수동, 문수그린아파트)",061-652-7798,061-652-7798,3,0,7,운영(신고),http://info.childcare.go.kr,2020-06-30
지웰3단지 어린이집,전라남도,전라남도,여수시,44,11,전라남도 여수시 웅천중앙로 47 웅천 지웰3단지 내,061-691-2006,061-691-2006,6,1,8,미운영,http://info.childcare.go.kr,2020-06-30
지웰어린이집,전라남도,전라남도,여수시,41,10,"전라남도 여수시 예울마루로 30 119동 1층(웅천동, 웅천지웰)",061-692-2005,061-692-2005,6,0,6,운영(신고),http://info.childcare.go.kr,2020-06-30
지혜어린이집,전라남도,전라남도,여수시,20,7,전라남도 여수시 문수7길 5-2,061-652-8033,061-652-8033,3,0,7,운영(신고),http://info.childcare.go.kr,2020-06-30
찬양어린이집,전라남도,전라남도,여수시,37,7,전라남도 여수시 미평남4길 11-2 (미평동),061-652-9747,061-652-9747,5,0,8,운영(신고),http://info.childcare.go.kr,2020-06-30
참사랑어린이집,전라남도,전라남도,여수시,51,15,전라남도 여수시 여서로 226-3 (여서동),061-655-2114,061-655-2113,8,1,4,운영(신고),http://info.childcare.go.kr,2020-06-30
참솔어린이집,전라남도,전라남도,여수시,20,6,"전라남도 여수시 쌍봉로 316 110동 102호(둔덕동, 한려주공)",061-653-8279,061-651-8276,4,0,8,운영(신고),http://info.childcare.go.kr,2020-06-30
참예쁜어린이집,전라남도,전라남도,여수시,39,8,전라남도 여수시 소호6길 11 (소호동),061-691-5777,061-691-5776,5,1,18,운영(신고),http://info.childcare.go.kr,2020-06-30
천우어린이집,전라남도,전라남도,여수시,166,20,전라남도 여수시 신기남3길 11 (신기동),061-681-0698,061-684-1336,12,6,8,운영(신고),www.daum.net / 천우어린이집,2020-06-30
청솔어린이집,전라남도,전라남도,여수시,75,16,전라남도 여수시 강남1길 50 여수 돌산1차 청솔아파트 청솔어린이집,061-644-1572,061-644-1574,6,2,4,운영(신고),http://info.childcare.go.kr,2020-06-30
초록나무어린이집,전라남도,전라남도,여수시,20,6,"전라남도 여수시 무선로 50 116동 102호(학동, 신동아파밀리에)",061-691-7717,061-691-7714,4,0,8,운영(신고),http://info.childcare.go.kr,2020-06-30
초록빛어린이집,전라남도,전라남도,여수시,50,6,"전라남도 여수시 박람회길 61 덕충동, 엑스포힐스테이트 1단지내",061-663-4000,061-663-4000,6,1,3,운영(신고),http://info.childcare.go.kr,2020-06-30
초코어린이집,전라남도,전라남도,여수시,20,7,"전라남도 여수시 선소로 72-13 301동 104호(신기동, 부영아파트)",061-691-7442,061-691-7442,3,0,4,미운영,http://info.childcare.go.kr,2020-06-30
축복어린이집,전라남도,전라남도,여수시,19,5,전라남도 여수시 이순신광장로 220 태양맨션 102호 (종화동),061-664-0391,061-664-0391,3,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
크는아이 어린이집,전라남도,전라남도,여수시,20,6,"전라남도 여수시 쌍봉로 366 6동 106호(둔덕동, 중앙하이츠)",061-652-0268,,4,0,3,운영(신고),http://info.childcare.go.kr,2020-06-30
큰나무어린이집,전라남도,전라남도,여수시,15,6,"전라남도 여수시 돌산읍 강남동로 46-19 203동 108호(우두리, 청솔2차)",061-644-5633,061-644-5633,3,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
키즈맘어린이집,전라남도,전라남도,여수시,16,5,"전라남도 여수시 여서1로 8 605동 105호(여서동, 부영6차)",061-652-7772,061-652-7772,3,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
킨더스쿨어린이집,전라남도,전라남도,여수시,20,4,전라남도 여수시 소호5길 22 2동 105호 소호동 금호아파트,061-692-2369,061-692-2369,4,0,5,운영(신고),http://info.childcare.go.kr,2020-06-30
통키어린이집,전라남도,전라남도,여수시,20,8,전라남도 여수시 여서동7길 9 (여서동),061-654-0341,061-654-0341,4,0,12,운영(신고),http://info.childcare.go.kr,2020-06-30
튼튼어린이집,전라남도,전라남도,여수시,99,17,"전라남도 여수시 여서로 176 유치원동 (여서동, 부영7차)",061-652-3608,061-652-3609,8,2,4,운영(신고),http://info.childcare.go.kr,2020-06-30
파랑새어린이집,전라남도,전라남도,여수시,20,4,전라남도 여수시 무선4길 12 (선원동),061-686-6116,061-686-6116,4,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
프뢰벨어린이집,전라남도,전라남도,여수시,20,4,"전라남도 여수시 봉계대곡길 62 104동 104호(봉계동, 대광오투빌)",061-691-7737,061-691-7737,3,0,6,운영(신고),http://info.childcare.go.kr,2020-06-30
하나둘셋어린이집,전라남도,전라남도,여수시,79,1,전라남도 여수시 여문2로 61 450-1번지,061-652-8822,061-652-5825,6,2,4,운영(신고),cafe.duam.net.123dum,2020-06-30
한나어린이집,전라남도,전라남도,여수시,20,6,"전라남도 여수시 안산1길 136 105동 109호(안산동, 모아미래도)",061-686-8710,061-686-8710,4,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
한려어린이집,전라남도,전라남도,여수시,54,4,전라남도 여수시 쌍봉로 316 한려아파트내 (한려어린이집),061-654-0677,061-654-0678,4,1,14,운영(신고),http://info.childcare.go.kr,2020-06-30
한빛어린이집,전라남도,전라남도,여수시,220,31,전라남도 여수시 대치1길 26-6,061-652-7157,061-652-7155,13,4,8,운영(신고),http://info.childcare.go.kr,2020-06-30
한울어린이집,전라남도,전라남도,여수시,81,10,전라남도 여수시 양지1길 5 한울어린이집,061-652-6535,061-651-7197,6,3,14,운영(신고),http://info.childcare.go.kr,2020-06-30
한화솔루션 여천NCC공동어린이집,전라남도,전라남도,여수시,49,11,"전라남도 여수시 소호로 513 (소호동, 한화케미칼 사택)",061-685-0045,061-683-0047,5,1,8,운영(신고),http://info.childcare.go.kr,2020-06-30
한화여수 어린이집,전라남도,전라남도,여수시,49,16,전라남도 여수시 신월8길 35-8 (신월동),061-643-1190,061-641-1192,4,2,8,미운영,http://www.puruni.com/hwys,2020-06-30
해그림어린이집,전라남도,전라남도,여수시,78,19,전라남도 여수시 봉계대곡길 35 (봉계동),061-691-9040,061-691-9040,7,1,4,운영(신고),http://info.childcare.go.kr,2020-06-30
해들어린이집,전라남도,전라남도,여수시,20,7,"전라남도 여수시 좌수영로 682-34 104동 102호(봉계동, 로얄골드빌)",061-685-2390,061-685-2390,3,0,10,운영(신고),http://info.childcare.go.kr,2020-06-30
해맑은어린이집,전라남도,전라남도,여수시,105,21,전라남도 여수시 화산2길 40 (화장동),061-691-1171,061-691-1173,9,2,12,운영(신고),kidsun.co.kr,2020-06-30
해오름어린이집,전라남도,전라남도,여수시,76,14,전라남도 여수시 돌산읍 강남10길 18-20,061-641-0212,061-641-0212,9,2,4,운영(신고),http://info.childcare.go.kr,2020-06-30
해피하우스어린이집,전라남도,전라남도,여수시,20,8,"전라남도 여수시 도원로 204 506동 101호(안산동, 부영5차아파트)",061-683-1268,061-683-1268,4,0,5,운영(신고),http://info.childcare.go.kr,2020-06-30
햇살어린이집,전라남도,전라남도,여수시,20,7,"전라남도 여수시 여천체육공원길 52 103동 104호(신기동, 우림필유)",061-681-6005,061-681-6005,4,0,5,운영(신고),http://info.childcare.go.kr,2020-06-30
행복나라어린이집,전라남도,전라남도,여수시,35,10,전라남도 여수시 시청서4길 24 (학동),061-685-8891,061-685-8891,5,1,7,운영(신고),http://info.childcare.go.kr,2020-06-30
행복한어린이집,전라남도,전라남도,여수시,57,5,전라남도 여수시 시청로 84 전남 여수시 시청로84 금호타운내 1동앞,061-681-5565,061-681-6677,6,2,7,운영(신고),http://info.childcare.go.kr,2020-06-30
호남어린이집,전라남도,전라남도,여수시,93,13,전라남도 여수시 봉산남3길 7-34,061-642-8714,061-642-5496,7,2,13,운영(신고),http://info.childcare.go.kr,2020-06-30
홍익어린이집,전라남도,전라남도,여수시,146,19,전라남도 여수시 충민사길 31 (덕충동),061-662-6622,061-662-6623,9,1,4,운영(신고),http://info.childcare.go.kr,2020-06-30
화정어린이집,전라남도,전라남도,여수시,14,2,전라남도 여수시 화정면 신흥길 32-11 이전신축으로 이전,061-666-0097,061-666-0099,3,1,4,운영(신고),http://info.childcare.go.kr,2020-06-30
ing몬테소리어린이집,전라남도,전라남도,순천시,19,6,"전라남도 순천시 봉화2길 128 205동 105호(조례동, 대림2차아파트)",061-725-5886,,3,0,10,운영(신고),http://info.childcare.go.kr,2020-06-30
가곡어린이집,전라남도,전라남도,순천시,97,16,전라남도 순천시 서면 선평길 25,061-751-3983,,6,1,7,운영(신고),cafe.daum/gagok1004,2020-06-30
가곡참샘어린이집,전라남도,전라남도,순천시,48,11,전라남도 순천시 고지1길 57 (가곡동),061-751-8580,061-751-8580,5,0,8,운영(신고),http://info.childcare.go.kr,2020-06-30
가엘어린이집,전라남도,전라남도,순천시,72,7,전라남도 순천시 해룡로 1128-5 (해룡면),061-724-3835,061-724-3396,5,2,20,운영(신고),http://info.childcare.go.kr,2020-06-30
가온누리 직장어린이집,전라남도,전라남도,순천시,65,12,전라남도 순천시 해룡면 율산길 118-1 가온누리 직장어린이집,061-727-1231,061-727-1241,8,1,9,운영(신고),http://info.childcare.go.kr,2020-06-30
강청어린이집,전라남도,전라남도,순천시,79,13,전라남도 순천시 서면 강청길 134,061-753-7549,061-753-7548,6,1,7,운영(신고),http://info.childcare.go.kr,2020-06-30
골드클래스어린이집,전라남도,전라남도,순천시,43,10,전라남도 순천시 오천4길 21 골드클래스 복지동(관리동) 보육시설,061-741-7963,061-741-7962,5,0,17,미운영,http://info.childcare.go.kr,2020-06-30
금당제일어린이집,전라남도,전라남도,순천시,206,22,전라남도 순천시 순광로 177 (조례동),061-722-4007,061-722-9533,13,2,5,운영(신고),http://info.childcare.go.kr,2020-06-30
꼬마또래어린이집,전라남도,전라남도,순천시,20,6,전라남도 순천시 연향1로 40 (연향동) 금호아파트 105동 102호,061-722-4514,,4,0,5,운영(신고),http://info.childcare.go.kr,2020-06-30
꼬마영재어린이집,전라남도,전라남도,순천시,20,7,"전라남도 순천시 왕궁길 95 106동 102호(조례동, 왕지송촌프라임아파트)",061-726-7579,061-726-7579,4,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
꼬마친구어린이집,전라남도,전라남도,순천시,20,5,전라남도 순천시 서면 강청길 82 106동 103호 (라송센트럴카운티),061-753-7939,061-751-7939,4,0,15,운영(신고),http://info.childcare.go.kr,2020-06-30
꼬마화가어린이집,전라남도,전라남도,순천시,115,15,전라남도 순천시 삼동안길 33 (해룡면),061-721-7026,061-724-5228,8,2,4,운영(신고),http://cafe.daum.net/ggoma7026,2020-06-30
꿈나래어린이집,전라남도,전라남도,순천시,19,5,"전라남도 순천시 연향1로 40 3동 106호(연향동, 금호아파트)",061-726-1030,,3,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
꿈나무어린이집,전라남도,전라남도,순천시,13,4,전라남도 순천시 해룡면 신대로 97 506-105(신대중흥s클래스5단지),061-742-0700,061-721-0750,3,0,16,운영(신고),http://info.childcare.go.kr,2020-06-30
꿈동산몬테소리어린이집,전라남도,전라남도,순천시,98,19,전라남도 순천시 팔마로 269 (연향동),061-746-7777,061-746-7778,9,1,4,운영(신고),dreamhil.org,2020-06-30
꿈사랑어린이집,전라남도,전라남도,순천시,16,3,"전라남도 순천시 수박등2길 21 105동 106호(생목동, 현대)",061-902-7480,061-902-7480,3,0,16,운영(신고),http://info.childcare.go.kr,2020-06-30
꿈의땅어린이집,전라남도,전라남도,순천시,84,15,전라남도 순천시 이수1길 35-24 (생목동),061-744-0010,061-902-2010,8,2,4,운영(신고),http://info.childcare.go.kr,2020-06-30
꿈초롱어린이집,전라남도,전라남도,순천시,19,4,"전라남도 순천시 남정5길 15 7동 103호 (남정동, 삼풍맨션)",061-742-0012,,3,0,8,운영(신고),http://info.childcare.go.kr,2020-06-30
낙안어린이집,전라남도,전라남도,순천시,52,11,전라남도 순천시 낙안면 민속마을길 1690,061-752-8425,061-752-8425,4,1,8,운영(신고),http://info.childcare.go.kr,2020-06-30
남부어린이집,전라남도,전라남도,순천시,72,10,전라남도 순천시 중앙1길 17 (장천동),061-745-4982,,5,1,13,운영(신고),nbch.net/club/nbm4982,2020-06-30
남순천어린이집,전라남도,전라남도,순천시,99,17,전라남도 순천시 산행길 13 (옥천동),061-755-1237,061-755-1203,7,1,6,운영(신고),http://info.childcare.go.kr,2020-06-30
내친구어린이집,전라남도,전라남도,순천시,49,11,전라남도 순천시 해룡면 평화길 85 (조례동),061-723-9992,061-723-9921,5,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
너랑나랑어린이집,전라남도,전라남도,순천시,19,8,전라남도 순천시 해룡면 좌야로 101 101동 105호(중흥에스-클래스1단지),061-721-6523,061-721-6523,3,0,4,미운영,http://info.childcare.go.kr,2020-06-30
느티나무어린이집,전라남도,전라남도,순천시,28,8,"전라남도 순천시 장선배기길 284 (해룡면, 청솔1차아파트단지내)",061-726-0308,061-726-0308,3,1,4,미운영,http://info.childcare.go.kr,2020-06-30
늘푸른청솔어린이집,전라남도,전라남도,순천시,28,5,"전라남도 순천시 대석길 98 (해룡면, 청솔2차아파트단지내)",070-4407-7742,,5,0,6,운영(신고),http://info.childcare.go.kr,2020-06-30
대광그린웰어린이집,전라남도,전라남도,순천시,28,6,전라남도 순천시 오천7길 29 대광로제비앙 관리동,061-903-4121,,5,0,7,미운영,http://info.childcare.go.kr,2020-06-30
대광새싹어린이집,전라남도,전라남도,순천시,39,12,전라남도 순천시 해룡면 연향로 166 (대광로제비앙센트럴),061-726-3200,061-726-2255,8,1,4,운영(신고),navercafe,2020-06-30
대주키즈맘어린이집,전라남도,전라남도,순천시,17,4,"전라남도 순천시 조례연동길 5 312동 102호(조례동, 순천조례3차대주파크빌)",061-727-6482,061-727-6482,4,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
대주파크어린이집,전라남도,전라남도,순천시,19,6,"전라남도 순천시 조례연동길 5 310동 103호(조례동, 연동대주파크빌3차아파트)",061-727-5615,061-727-5615,3,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
대주하늘꿈어린이집,전라남도,전라남도,순천시,20,6,"전라남도 순천시 기적의도서관2길 35 105동 103호(연향동, 대주파크빌아파트)",061-722-1252,061-722-1252,3,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
더조은어린이집,전라남도,전라남도,순천시,19,7,"전라남도 순천시 팔마4길 40 106동 104호(연향동, 세영더조은아파트)",061-726-3131,061-726-3131,3,0,7,운영(신고),http://info.childcare.go.kr,2020-06-30
덕진봄이어린이집,전라남도,전라남도,순천시,43,11,전라남도 순천시 용당삼산로 63,061-752-3452,,6,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
도담어린이집,전라남도,전라남도,순천시,20,5,"전라남도 순천시 기적의도서관2길 51 505동 105호(연향동, 중흥에스클래스빌)",061-722-5005,061-722-5059,3,0,18,운영(신고),http://cafe.naver.com/dodam5005,2020-06-30
도레미어린이집,전라남도,전라남도,순천시,166,19,전라남도 순천시 봉화2길 139 (조례동),061-723-0123,061-723-0122,10,1,4,운영(신고),daum.net/lmhhy,2020-06-30
동그라미어린이집,전라남도,전라남도,순천시,13,5,"전라남도 순천시 왕궁길 60 303동 103호(조례동, 왕지중흥)",061-725-4233,061-725-4233,3,0,12,운영(신고),http://info.childcare.go.kr,2020-06-30
동그라미유아스쿨어린이집,전라남도,전라남도,순천시,91,14,"전라남도 순천시 장선배기길 77 (조례동,부영5차아파트단지내)",061-722-0307,061-722-5927,6,1,5,운영(신고),http://info.childcare.go.kr,2020-06-30
동글동글어린이집,전라남도,전라남도,순천시,39,7,전라남도 순천시 소안길 48 (해룡면),061-722-0809,061-722-0809,4,0,8,운영(신고),http://info.childcare.go.kr,2020-06-30
동부어린이집,전라남도,전라남도,순천시,79,14,전라남도 순천시 동문외2길 15 (동외동),061-752-4284,061-755-4285,7,1,13,운영(신고),http://info.childcare.go.kr,2020-06-30
동부종합복지관 어린이집,전라남도,전라남도,순천시,99,18,전라남도 순천시 장선배기길 18 (조례동),061-727-2080,061-727-2080,6,2,5,운영(신고),http://info.childcare.go.kr,2020-06-30
